Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
Activision Publishing,Software,USD 1 178 955 000,4283,USD 1 505 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Actual Experience,Business Services,USD 12 000 000,72,USD 500,Redis; Kubernetes; Prometheus,Microsoft Azure,Redis,,,,
Acuity Brands,Manufacturing,USD 4 112 400 000,13200,USD 134 600,PostgreSQL; PostgreSQL; MySQL; Redis; Redis; InfluxDB; Grafana; Grafana; MongoDB; Docker; Jenkins; Datadog; Prometheus; Splunk,"Digital Ocean, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Acxiom,Business Services,USD 2 699 543 000,4482,USD 257 700,PostgreSQL; PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; HashiCorp Terraform; Jenkins; Prometheus; Snowflake,Google Compute Engine,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Addison Group,Business Services,USD 1 196 987 000,2859,USD 20 300,PostgreSQL; MySQL; Redis; Docker; Jenkins; Splunk,Amazon EC2,Veeam Software,,MySQL; PostgreSQL,,Elasticsearch; Apache Solr
ADEO Services,Retail,USD 43 000 000 000,150000,USD 469 500,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins; Couchbase,"MongoDB, Inc.",Oracle,Kubernetes; Docker,MySQL; PostgreSQL,,Elasticsearch
adesso SE,Business Services,USD 610 000 000,3100,USD 57 400,,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Adevinta,Business Services,USD 1 961 580 000,8100,USD 49 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Apache Kafka; Apache Flink,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
ADP,Business Services,USD 17 673 700 000,63000,USD 4 801 500,PostgreSQL; PostgreSQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Datadog; Prometheus; Couchbase; Couchbase; Snowflake,"MongoDB, Inc.",CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Adtalem Global Education,Education,USD 1 495 810 000,4368,USD 107 800,PostgreSQL; MySQL; Redis; MongoDB; Snowflake,Amazon EC2,Yahoo Finance,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,
AdTheorent,Business Services,USD 168 639 000,297,,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Docker; Apache Kafka,,,,,,
Advanced,Business Services,USD 427 062 000,2401,USD 126 200,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Snowflake,Amazon EC2,Star Technology Services,,MySQL; PostgreSQL; Microsoft Azure SQL Database,,
advantagesolutions.net,Business Services,USD 4 049 742 000,70000,USD 129 500,,Lumen Technologies,Amazon EC2,"Docker, Inc.",MySQL,,
ADVA Optical Networking,Manufacturing,USD 662 072 000,1850,USD 47 200,PostgreSQL; MySQL; MongoDB; Docker; Jenkins,Microsoft Azure,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
ADvTECH,Education,USD 408 911 000,5674,USD 77 600,MySQL,Afrihost,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL,,
aecom.com,Construction,USD 20 200 000 000,86000,USD 258 500,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins; Snowflake; Splunk,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,,Elasticsearch; Apache Solr
Aer Lingus,Transportation,USD 2 512 904 000,3608,USD 95 400,MySQL; Redis; MongoDB; Jenkins,Oracle,Amazon EC2,"Docker, Inc.",MySQL,,
Aesop,Retail,USD 260 713 000,1643,USD 40 500,MySQL; Jenkins,Rackspace,Amazon EC2,,MySQL,,
AFRY,Construction,USD 2 284 631 000,19187,USD 22 600,PostgreSQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Kubernetes,plusserver,Kubernetes,PostgreSQL,Apache Kafka,
AfterPay,Software,USD 597 175 000,1300,USD 330 400,PostgreSQL; MySQL; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,"MongoDB, Inc.","Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
AGCO,Manufacturing,USD 14 412 400 000,27900,USD 153 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Agero,Business Services,USD 773 841 000,3500,USD 78 500,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,Vodafone Group Public Limited Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Agilisys,Business Services,USD 337 908 000,1600,USD 138 800,PostgreSQL; MySQL; Kubernetes,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch; Apache Solr
AIB,Finance,USD 4 153 677 000,10133,USD 103 200,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; Jenkins,"Acquia, Inc.","Docker, Inc.","Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Apache Lucene
AIG,Insurance,USD 56 539 000 000,37000,USD 416 500,PostgreSQL; PostgreSQL; MySQL; MySQL; Apache Cassandra; Apache Cassandra; MongoDB; MongoDB; Kubernetes; Docker; Docker; Couchbase; Snowflake; Splunk; Splunk,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
AirAsia Group Berhad,Transportation,USD 1 252 087 200,18848,USD 552 600,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Google Compute Engine,Akamai Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Air Astana,Transportation,USD 767 402 000,5135,USD 37 700,PostgreSQL; Prometheus,Iomart Group Plc,"Docker, Inc.","Docker, Inc.",PostgreSQL,,
Airbnb,Hospitality,USD 9 917 000 000,6907,USD 2 071 100,PostgreSQL; PostgreSQL; MySQL; Apache Cassandra; Grafana; MariaDB; Kubernetes; Kubernetes; Docker; Docker; HashiCorp Terraform; Datadog; Prometheus; Splunk; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Akamai Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Air France,Transportation,USD 13 454 545 000,42000,USD 201 300,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Teradata,marte meo international,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Air India,Transportation,USD 1 001 771 000,12621,USD 160 200,MySQL,Unisys,Microsoft Azure,,MySQL,,
Air New Zealand,Transportation,USD 3 931 677 000,11650,USD 20 000,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,"Acquia, Inc.",Microsoft Azure,,MySQL; PostgreSQL,Apache Kafka,
Airtel India,Telecommunications,USD 17 908 797 000,22178,USD 487 500,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch
Airwallex,Software,USD 252 062 000,1200,USD 179 700,PostgreSQL; Redis; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Alibaba Cloud Computing,Google Compute Engine,Kubernetes,PostgreSQL,Apache Kafka,Elasticsearch
"Akamai Technologies, Inc.",Software,USD 3 744 682 000,10111,USD 636 800,PostgreSQL; MySQL; Redis; Apache Cassandra; ClickHouse; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Akima,Holding Companies & Conglomerates,USD 2 712 800 000,10000,USD 50 200,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch
Alabama Power,"Energy, Utilities & Waste",USD 1 351 000 000,6100,USD 595 400,PostgreSQL; Apache Kafka,Amazon EC2,AWS Elastic Load Balancer,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Albertsons,Retail,USD 79 163 300 000,290000,USD 391 900,PostgreSQL; PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,medrefill.com,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Alfa Laval,Manufacturing,USD 4 632 387 000,21321,USD 49 700,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; Kubernetes; Docker; Jenkins,Telia Sverige,GoDaddy,,MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Alibaba Cloud Private,Software,USD 645 495 000,1836,USD 1 920 600,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Apache Kafka,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Align Technology,Manufacturing,USD 4 031 032 000,23625,USD 389 300,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Heroku,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora,Confluent; Apache Kafka,Elasticsearch; Apache Solr
Al Jazeera International,Media & Internet,USD 1 655 805 000,4000,USD 1 280 800,MySQL; Jenkins,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,,
Alliance Entertainment,Retail,USD 1 417 377 000,786,USD 32 200,MySQL,Leaseweb,Amazon EC2,,MySQL,,Elasticsearch; Apache Lucene
AlliantGroup,Business Services,USD 317 004 000,1500,USD 37 400,MySQL; Snowflake,Lumen Technologies,Amazon EC2,,MySQL; Microsoft Azure SQL Database,,
Allstate,Insurance,USD 55 911 000 000,54300,USD 909 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Snowflake Computing,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Almarai,Manufacturing,USD 5 220 156 000,41044,USD 21 400,MySQL,Amazon EC2,Saudi Arabian Cooperative Insurance Company (SAICO),,MySQL,,
AlmavivA S.p.A,Business Services,USD 981 045 000,45000,USD 201 000,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Apache Kafka,OVH SRL,ip-5-135-229.eu,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Alphabet International,Finance,USD 1 469 353 000,2850,USD 20 100,PostgreSQL; Redis; MariaDB; MariaDB; Kubernetes; Docker; Couchbase; Couchbase,Amazon EC2,Microsoft SQL Server,,MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Alston & Bird,Law Firms & Legal Services,USD 1 061 457 000,1673,USD 88 700,MySQL; Jenkins,Amazon EC2,"Level 3 Communications, Inc.",,MySQL,,
Altair,Software,USD 578 474 000,3050,USD 232 600,MySQL; Apache Cassandra; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Al Tayer Group,Retail,USD 891 153 000,6616,USD 11 400,Redis; Docker; Jenkins,Google Compute Engine,Amazon EC2,,,,Elasticsearch
Alteryx,Software,USD 970 000 000,2900,USD 164 800,PostgreSQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Altice USA,Telecommunications,USD 10 090 849 000,12000,USD 875 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Zayo Group,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Altimetrik,Software,USD 525 129 000,5500,USD 94 400,,"Digital Ocean, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Altron,Software,USD 518 568 000,5616,USD 37 400,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; MariaDB; Kubernetes; Docker; Couchbase,China Telecom,Lexsynergy,,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,,
AMA,Organizations,USD 493 400 000,1864,USD 379 200,MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Splunk,Microsoft Azure,Amazon EC2,"Docker, Inc.",MySQL,,Apache Solr
